Omega, Sigma
8.2834644227516, 31.651730387734716
8.7086612731453, 37.48132680029077
9.096062847948449, 42.86249271957329
9.521259698342151, 51.83110258504414
9.889763635350025, 64.38715639670333
10.286614029050812, 92.18984697966297
10.730708517239789, 120.44096805589616
11.1086612731453, 142.18984697966297
11.514960485743725, 214.16294115006656
11.921259698342151, 264.16293430756025
12.318110092042938, 278.0642795990401
12.677165210153174, 269.9925307201163
13.12125969834215, 255.19432444208942
13.518110092042939, 251.15845000262752
13.905511666846088, 221.5620374465737
14.302362060546875, 243.98356211025086
14.699212454247661, 236.36024372460062
15.100787257397268, 260.1270598680984
15.516535288893332, 249.36472802953335
15.913385682594118, 269.9925307201163
16.300787257397268, 264.6113648008338
16.707086469995694, 248.69208913212935
17.075590407003567, 222.23469002899031
17.491338438499632, 207.88491424423697
17.907086469995694, 177.84007119490963
18.28503922590121, 156.31540751777956
18.700787257397266, 135.46338958055983
19.11653528889333, 124.70105774199482
19.50393686369648, 106.31540751777956
20.1086612731453, 98.69208913212934
